id,values
1507,3.6
1508,3.5
1509,3.3
1510,3.3
1511,3.7
1512,3.6
1513,3.5
1514,3.3
1515,3.0
1516,2.8
1517,2.7
1518,2.4
1519,2.0
1520,2.1
1521,2.1
1522,2.3
1523,22.4
1524,4.3
1525,5.5
1526,24.9
1527,24.7
1528,5.2
1529,4.9
1530,3.5
1531,1.9
1532,2.2
1533,0.3
1534,19.0
1535,19.3
1536,-0.2
1537,-1.1
1538,-1.1
1539,-0.5
1540,-0.8
1541,-1.2
1542,0.1
1543,0.2
1544,0.7
1545,0.8
1546,21.0
1547,21.3
1548,2.0
1549,1.3
1550,1.2
1551,1.4
1552,20.6
1553,1.5
1554,1.3
1555,1.1
1556,1.5
1557,1.4
1558,1.6
1559,22.6
1560,5.5
1561,4.6
1562,6.0
1563,7.0
1564,26.6
1565,6.6
1566,6.0
1567,25.8
1568,6.0
1569,26.3
1570,8.0
1571,7.2
1572,26.0
1573,8.7
1574,9.7
1575,9.1
1576,8.2
1577,7.6
1578,7.1
1579,6.7
1580,6.8
1581,6.8
1582,6.8
1583,6.6
1584,6.5
1585,6.2
1586,25.4
1587,24.9
1588,5.5
1589,5.9
1590,5.9
1591,6.0
1592,25.4
1593,6.3
1594,6.7
1595,6.5
1596,5.7
1597,4.7
1598,5.3
1599,5.5
1600,4.4
1601,2.8
1602,0.3
1603,0.6
1604,19.8
1605,0.3
1606,19.7
1607,0.7
1608,0.9
1609,19.8
1610,0.2
1611,0.2
1612,-0.4
1613,-1.6
1614,-1.2
1615,-0.7
1616,-1.8
1617,-1.9
1618,-0.8
1619,0.2
1620,-0.5
1621,0.2
1622,0.0
1623,-1.9
1624,-2.1
1625,-2.1
1626,-2.5
1627,-2.5
1628,16.6
1629,-2.6
1630,16.5
1631,-3.2
1632,-3.3
1633,15.6
1634,-3.8
1635,15.3
1636,-4.0
1637,-4.0
1638,-4.0
1639,-4.2
1640,-4.4
1641,-4.3
1642,15.3
1643,15.9
1644,-2.9
1645,-2.9
1646,-2.7
1647,-2.9
1648,-3.2
1649,-3.6
1650,-3.9
1651,-4.4
1652,14.9
1653,-4.8
1654,-5.3
1655,14.2
1656,-5.0
1657,-5.4
1658,-5.1
1659,14.8
1660,14.8
1661,-5.7
1662,13.6
1663,-5.9
1664,13.3
1665,-5.0
1666,16.0
1667,-1.7
1668,-0.9
1669,-1.0
1670,-1.2
1671,17.1
1672,16.9
1673,-3.4
1674,-3.5
1675,15.6
1676,-3.5
1677,-3.0
1678,-3.3
1679,-3.2
1680,-3.5
1681,-3.0
1682,-1.3
1683,-1.2
1684,-2.8
1685,-4.0
1686,15.2
1687,-4.0
1688,15.9
1689,-2.7
1690,-2.2
1691,-1.9
1692,17.5
1693,-1.6
1694,-0.9
1695,-1.3
1696,-1.6
1697,-1.9
1698,-2.1
1699,-2.1
1700,-2.4
1701,-2.7
1702,-2.9
1703,-3.0
1704,-3.3
1705,-3.3
1706,15.9
1707,-3.0
1708,-3.2
1709,-3.7
1710,-3.7
1711,15.8
1712,-3.5
1713,-3.3
1714,-2.6
1715,17.5
1716,-1.1
1717,-0.3
1718,-0.1
1719,1.1
1720,-0.2
1721,-2.5
1722,14.9
1723,-4.3
1724,-3.4
1725,-3.1
1726,-3.7
1727,-3.7
1728,-3.1
1729,-2.7
1730,-2.9
1731,16.3
1732,-3.4
1733,-2.9
1734,16.5
1735,16.7
1736,16.8
1737,-2.5
1738,-2.3
1739,17.7
1740,-1.1
1741,-0.7
1742,-0.5
1743,-0.6
1744,-0.9
1745,-1.0
1746,-1.0
1747,18.5
1748,18.5
1749,-1.0
1750,-1.0
1751,-0.8
1752,-0.8
1753,-0.6
1754,-0.4
1755,-0.1
1756,-0.1
1757,19.0
1758,19.3
1759,19.3
1760,0.1
1761,0.8
1762,1.8
1763,2.3
1764,2.6
1765,2.7
1766,2.4
1767,2.2
1768,2.3
1769,2.6
1770,22.0
1771,2.9
1772,3.1
1773,3.3
1774,3.2
1775,3.2
1776,22.5
1777,3.3
1778,3.2
1779,3.4
1780,3.4
1781,3.1
1782,2.4
1783,18.8
1784,-2.3
1785,-3.9
1786,15.1
1787,-4.1
1788,-4.0
1789,-4.0
1790,-4.2
1791,-4.2
1792,-4.3
1793,-3.9
1794,15.0
1795,-4.6
1796,-4.9
1797,-5.4
1798,-5.7
1799,-6.5
1800,12.4
1801,-7.1
1802,-7.3
1803,11.8
1804,11.8
1805,-7.4
1806,-7.1
1807,12.7
1808,-7.9
1809,-7.0
1810,13.8
1811,-6.2
1812,-5.5
1813,-4.2
1814,-3.4
1815,-2.8
1816,-4.2
1817,14.5
1818,-6.0
1819,-5.7
1820,-4.8
1821,-4.7
1822,15.3
1823,-3.9
1824,-4.3
1825,-4.0
1826,-4.1
1827,-3.7
1828,-4.1
1829,-3.7
1830,-3.5
1831,-3.2
1832,-3.0
1833,-2.6
1834,-1.5
1835,-0.5
1836,1.5
1837,1.4
1838,2.8
1839,21.0
1840,21.4
1841,-0.4
1842,-0.4
1843,-0.2
1844,0.1
1845,0.1
1846,0.8
1847,-1.0
1848,0.7
1849,0.6
1850,-0.2
1851,0.2
1852,0.4
1853,0.7
1854,-1.0
1855,-0.3
1856,0.2
1857,0.1
1858,2.0
1859,4.3
1860,3.6
1861,2.9
1862,21.9
1863,1.4
1864,1.2
1865,-1.5
1866,-1.5
1867,-0.5
1868,19.0
1869,0.5
1870,0.4
1871,-0.8
1872,0.8
1873,20.5
1874,1.3
1875,18.7
1876,-1.3
1877,-1.3
1878,-1.1
1879,-0.9
1880,-0.8
1881,19.1
1882,0.9
1883,0.8
1884,2.2
1885,3.6
1886,24.1
1887,4.4
1888,4.8
1889,4.0
1890,3.2
1891,1.8
1892,21.2
1893,22.0
1894,20.8
1895,0.2
1896,19.3
1897,0.9
1898,0.0
1899,-0.8
1900,1.4
1901,1.3
